month,forward_rate,range_low,range_high
2026-08,2.954,2.897,4.391
2026-09,2.917,2.861,4.352
2026-10,2.94,2.893,4.398
2026-11,3.131,3.107,4.589
2026-12,3.77,3.768,5.074
2027-01,4.185,4.185,5.382
2027-02,3.786,3.786,4.858
2027-03,2.988,2.986,4.268
2027-04,2.819,2.816,3.67
2027-05,2.804,2.8,3.619
2027-06,2.942,2.932,3.743
2027-07,3.149,3.139,3.876
2027-08,3.214,3.198,3.907
2027-09,3.19,3.171,3.886
2027-10,3.266,3.246,3.98
2027-11,3.506,3.493,4.322
2027-12,4.142,4.059,4.697
2028-01,4.562,4.299,5.149
2028-02,4.113,4.061,4.727
2028-03,3.36,3.336,4.152
2028-04,3.108,2.923,3.561
2028-05,3.092,2.938,3.521
2028-06,3.225,3.084,3.648
2028-07,3.431,3.241,3.832
2028-08,3.493,3.281,3.854
2028-09,3.467,3.254,3.819
2028-10,3.524,3.309,3.869
2028-11,3.722,3.568,4.235
2028-12,4.305,3.964,4.629
2029-01,4.721,4.184,4.949
2029-02,4.309,3.941,4.733
2029-03,3.427,3.254,4.169
2029-04,3.115,2.768,3.611
2029-05,3.093,2.805,3.589
2029-06,3.205,2.972,3.705
2029-07,3.417,3.15,3.835
2029-08,3.478,3.199,3.878
2029-09,3.463,3.178,3.84
2029-10,3.527,3.259,3.926
2029-11,3.686,3.524,4.29
2029-12,4.261,3.922,4.705
2030-01,4.694,4.142,4.965
2030-02,4.27,3.898,4.741
2030-03,3.43,3.215,4.214
2030-04,3.055,2.715,3.604
2030-05,3.011,2.733,3.582
2030-06,3.126,2.871,3.682
2030-07,3.37,3.017,3.809
2030-08,3.403,3.064,3.853
2030-09,3.378,3.032,3.837
2030-10,3.45,3.087,3.951
2030-11,3.626,3.317,4.299
2030-12,4.154,3.742,4.747
2031-01,4.549,4.002,5.019
2031-02,4.134,3.772,4.828
2031-03,3.396,3.119,4.253
2031-04,2.997,2.613,3.754
2031-05,2.961,2.638,3.732
2031-06,3.077,2.768,3.767
2031-07,3.28,2.909,3.879
2031-09,3.323,2.895,3.873
2031-10,3.402,2.941,3.932
2031-11,3.642,3.198,4.265
